"Nom","Adresse","longlat","Voir les spectacles du jour"
"BALCON (THÉÂTRE DU)","38, rue Guillaume Puy 84000 Avignon","43.9473544 4.81419329999994","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/balcon-theatre-du-t4649/"
"DOMS (THÉÂTRE DES)","1 bis, rue des Escaliers Sainte Anne 84000 Avignon","43.9516592 4.80893519999995","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/doms-theatre-des-t4661/"
"PIXEL AVIGNON SALLE BAYAF","10, rue de la carreterie 84000 Avignon","43.950138 4.81285","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/pixel-avignon-salle-bayaf-t4739/"
"TRANSVERSAL (THÉÂTRE)","10, rue d'Amphoux 84000 Avignon","43.947283 4.811065","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/transversal-theatre-t4648/"
"PALAIS DU RIRE","39 RUE DU PORTAIL MAGNANEN 84000 Avignon","43.9443092346191 4.81081438064575","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/palais-du-rire-t4781/"
"FACTORY (LA) - 2-Salle Tomasi","4, rue Bertrand 84000 Avignon","43.951455 4.810107","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/factory-la-2-salle-tomasi-t4679/"
"CONTRE COURANT (FESTIVAL)","Ile de la Barthelasse 2201, route de l'Islon 84000 Avignon","43.9813898 4.8208737","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/contre-courant-festival-t4755/"
"ARTO","3, rue Râteau 84000 Avignon","43.9453879 4.81385760000001","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/arto-t4762/"
"Jardin de Fogasses","37 rue des Fourbisseurs 84000 Avignon","43.947465 4.807873","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/jardin-de-fogasses-t4712/"
"NOUVEAU GRENIER (LE)","9 rue Notre Dame des sept douleurs 84000 Avignon","43.9483833312988 4.81593322753906","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/nouveau-grenier-le-t4770/"
"LUCIOLES (THÉÂTRE DES)","10, rue du rempart St Lazare 84000 Avignon","43.9530579 4.81252719999998","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/lucioles-theatre-des-t4674/"
"BO (THÉÂTRE)","Novotel Centre 20, boulevard St Roch 84000 Avignon","43.942697 4.802439","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/bo-theatre-t4740/"
"COMÉDIE D’AVIGNON (LA)","40, rue des Lices 84000 Avignon","43.9449948 4.80921490000003","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/comedie-d-avignon-la-t4732/"
"AL ANDALUS","25, rue d'Amphoux 84000 Avignon","43.94744 4.810975","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/al-andalus-t4774/"
"AVIGNON-REINE BLANCHE","16 rue de la grande fusterie 84000 Avignon","43.9513 4.80459","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/avignon-reine-blanche-t4767/"
"TREMPLIN - Salle Molière","8 ter, rue Cornue 84000 Avignon","43.9470365 4.81274480000002","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/tremplin-salle-moliere-t4694/"
"VENTS (THÉÂTRE DES)","63, rue Guillaume Puy 84000 Avignon","43.947093963623 4.81430053710938","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/vents-theatre-des-t4696/"
"CONFIDENTIEL THÉÂTRE","NOVOTEL Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/confidentiel-theatre-t4800/"
"AU VIEUX BALANCIER","2 rue d'Amphoux 84000 Avignon","43.947958 4.811394","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/au-vieux-balancier-t4698/"
"ÉPISCÈNE (THÉÂTRE)","5, rue Ninon Vallin 84000 Avignon","43.943987 4.813955","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/episcene-theatre-t4758/"
"ANGE (THÉÂTRE DE L')","15 17, rue des teinturiers 84000 Avignon","43.945787 4.81237","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/ange-theatre-de-l-t4644/"
"COUR DU SPECTATEUR (LA)","5 place Louis GASTIN 84000 Avignon","43.9518356323242 4.81429767608643","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/cour-du-spectateur-la-t4686/"
"ESPACE SAINT MARTIAL","2 rue Henri Fabre 84000 Avignon","43.9451668 4.80562780000002","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/espace-saint-martial-t4664/"
"BRUNES (THÉÂTRE DES)","32 rue Thiers 84000 Avignon","43.9473589 4.81291999999996","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/brunes-theatre-des-t4743/"
"AMANTS (THÉÂTRE DES)","1, place du Grand Paradis 84000 Avignon","43.951821 4.810819","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/amants-theatre-des-t4643/"
"ALYA, LE THÉÂTRE","79 RUE DES INFIRMIÈRES 84000 Avignon","0 0","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/alya-le-theatre-t4747/"
"TREMPLIN - Salle Les Baladins","7, rue du Bon Pasteur  84000 Avignon","43.9468361 4.81296769999994","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/tremplin-salle-les-baladins-t4695/"
"CASTELET (THÉÂTRE LE)","113 rue de la Carreterie  84000 Avignon","43.95144 4.8157539","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/castelet-theatre-le-t4737/"
"ARCHIPEL THÉÂTRE","25, bis rue du Rempart de l'Oulle  84000 Avignon","43.9477752 4.8008092","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/archipel-theatre-t4684/"
"FABRIK THÉÂTRE","10, route de Lyon, Impasse Favot 84000 Avignon","43.949372 4.820784","https://www.imparato.io/blog/tous-les-spectacles-du-off-2022-aujourd-hui-theatre-par-theatre#/programme/2022/fabrik-theatre-t4667/"
